Speaker,Dialogue,Sentiment Scores,anger,disgust,fear,joy,neutral,sadness,surprise,Dialogue Index
Speaker A,"Hey, Dan. All right, so happy Monday, Sarah. Weekly sync. Ian, you have the first item on the agenda.","{'anger': 0.0029744873754680157, 'disgust': 0.0009719787049107254, 'fear': 0.00035560844116844237, 'joy': 0.9153062701225281, 'neutral': 0.030439743772149086, 'sadness': 0.006730395369231701, 'surprise': 0.043221473693847656}",0.0029744873754680157,0.0009719787049107254,0.00035560844116844237,0.9153062701225281,0.030439743772149086,0.006730395369231701,0.043221473693847656,1
Speaker B,Yep.,"{'anger': 0.003496144199743867, 'disgust': 0.01682528667151928, 'fear': 0.0025344903115183115, 'joy': 0.013735130429267883, 'neutral': 0.9281015992164612, 'sadness': 0.02691456861793995, 'surprise': 0.008392826654016972}",0.003496144199743867,0.01682528667151928,0.0025344903115183115,0.013735130429267883,0.9281015992164612,0.02691456861793995,0.008392826654016972,1
Speaker C,"So I wanted to share with everyone that the survey that I've been working on putting together is going into qualtrics later today. What this means for everyone is that hopefully tomorrow I will have the survey ready and I would really appreciate everyone on the team if you could go through the survey yourself and just kind of record what your experience was like. This is just a chance for me to test out, to make sure the questions make sense, that they are lining up with your expectations as an engineer. And I'm hoping to get that wrapped up so that we can actually share it next week. So that's just a heads up on reviewing it. The other thing I would like to talk about, and maybe we could take this to an async conversation, is more around how do we get this survey out? We need to get a lot of people, a little bit over a thousand, to get a good confidence rate. So that's a lot of people. So trying to figure out creative ways to get more people to take the survey would be really helpful if I can get everyone's insights on that. So just want to give everyone a heads up that's coming. That's going to be this week and next week. So just kind of think on it and we'll touch base from there.","{'anger': 0.0063418741337955, 'disgust': 0.004816632717847824, 'fear': 0.0012572602136060596, 'joy': 0.14541101455688477, 'neutral': 0.7926458716392517, 'sadness': 0.010947748087346554, 'surprise': 0.03857953101396561}",0.0063418741337955,0.004816632717847824,0.0012572602136060596,0.14541101455688477,0.7926458716392517,0.010947748087346554,0.03857953101396561,1
Speaker A,"Cool. Is Lori helping? Lori's the researcher. For everyone who doesn't know, is she helping with getting the survey out that they have an existing panel that they could send the survey to?","{'anger': 0.010896692983806133, 'disgust': 0.012987247668206692, 'fear': 0.0027575406711548567, 'joy': 0.008783698081970215, 'neutral': 0.7254763245582581, 'sadness': 0.006476386915892363, 'surprise': 0.23262208700180054}",0.010896692983806133,0.012987247668206692,0.0027575406711548567,0.008783698081970215,0.7254763245582581,0.006476386915892363,0.23262208700180054,2
Speaker C,"Yep, they're going to send it to the existing panel. The panel isn't very large, so this is something that we'll probably have to find some other creative ways to get people to take the survey. Whether it's pinging people that are writing on our issues or start sharing it on Twitter, there's a couple different options.","{'anger': 0.05962609127163887, 'disgust': 0.17856550216674805, 'fear': 0.0015438346890732646, 'joy': 0.0417243055999279, 'neutral': 0.6740344762802124, 'sadness': 0.03451402485370636, 'surprise': 0.00999178271740675}",0.05962609127163887,0.17856550216674805,0.0015438346890732646,0.0417243055999279,0.6740344762802124,0.03451402485370636,0.00999178271740675,2
Speaker A,"Okay, cool. All right, so the next item I have is reviewing the 12.4 milestone. So I have the link included there to just pull up the issue list. If you want to pull it up. I have it sorted. I know Dan hates when I share my screen, but I have it sorted to manual. If you look in the sort dropdown box, the manual sort will pick up the sort that I included in the board list. So it's in priority order and then we could go through each item there. Sound good? Okay, so the first item on there is the Docker distribution pruner from experimental to GA. This could be an investigation task. This is. Dan and I were talking last week about whether or not we should prioritize forking the docker code and optimizing the garbage collection code that's there, or taking what Camille has already done with this docker distribution. Distribution pruner code, which is working for some customers. Sarah mentioned she's using this for some people on support calls, but it's. I've seen where there's issues with back. It causes issues with backups or some other things where it just doesn't work. But we thought this would be the fastest way to improving the garbage collection story for some of our big customers, some that we met with last week that are having, you know, 55 terabytes of storage that they're using in their registry, and they just can't use the current version of garbage collection. So in this issue, it's. It links to Camille's code, a little bit of the history, but really we need to, like, dive in and investigate and find out if that's possible. And probably a conversation with Camille is worth worthwhile to see what. What he thinks as well.","{'anger': 0.011838334612548351, 'disgust': 0.01448939461261034, 'fear': 0.000925401458516717, 'joy': 0.00568467378616333, 'neutral': 0.9563963413238525, 'sadness': 0.0029068163130432367, 'surprise': 0.0077590723522007465}",0.011838334612548351,0.01448939461261034,0.000925401458516717,0.00568467378616333,0.9563963413238525,0.0029068163130432367,0.0077590723522007465,3
Speaker D,"So sorry to interject, Tim. Yeah. I've been looking through the code and the list of issues. Most of the issues in that project, kind of, at best, a year old. So I think I've been trying to go through those issues to see if there's anything we can sort of start addressing relatively quickly, but we might end up having to. And this is the issues in the. What is it? The package. What if the pruner. Sorry, the container registry pruner. Doctor distribution pruner, or whatever he's called it. So I've been trying to go through these issues to figure out if there's anything that we can actually just kind of go, hey, let's go do this. And it seems like a lot of them is back and forward with people who are trying to contribute. So I think I still need to go through those issues a bit. Maybe Tim and anyone else is interested, we can sort of, like, go through and do a quick scan and see if there's anything sort of low hanging fruit where we can help move that along.","{'anger': 0.007524862885475159, 'disgust': 0.04358160123229027, 'fear': 0.011207864619791508, 'joy': 0.004171303939074278, 'neutral': 0.5933788418769836, 'sadness': 0.29507267475128174, 'surprise': 0.045062847435474396}",0.007524862885475159,0.04358160123229027,0.011207864619791508,0.004171303939074278,0.5933788418769836,0.29507267475128174,0.045062847435474396,1
Speaker A,"Okay, great. The next item is a net new package manager integration with Nuget. This is one of our. This, I think, is our stage's highest requested feature with something like 127 votes. Now, I've had this. A few customers recently request this as well. I still need to groom this issue, so it's a little out of date, but that's the next item that we need to work on, and I should have that done. This week for sure, but expect it'll look like the Conan MVC issue. Which, by the way, Steve, was anything missing from that that you think that I should focus on? Or was there too much detail in that one that I should exclude from as I build out the Nuget one?","{'anger': 0.005112408194690943, 'disgust': 0.003543896833434701, 'fear': 0.0014098496176302433, 'joy': 0.014257572591304779, 'neutral': 0.9366427659988403, 'sadness': 0.003076713066548109, 'surprise': 0.035956889390945435}",0.005112408194690943,0.003543896833434701,0.0014098496176302433,0.014257572591304779,0.9366427659988403,0.003076713066548109,0.035956889390945435,4
Speaker E,"I don't think there's anything in particular one way or the other. Certainly. Like, more information is better, I think. Yeah. Like, as sort of having this top level issue that can eventually be broken down by whoever's working on it as needed. I think that's a good place to start.","{'anger': 0.009971994906663895, 'disgust': 0.022447798401117325, 'fear': 0.0039492943324148655, 'joy': 0.007377746514976025, 'neutral': 0.9474985003471375, 'sadness': 0.004769892897456884, 'surprise': 0.003984731622040272}",0.009971994906663895,0.022447798401117325,0.0039492943324148655,0.007377746514976025,0.9474985003471375,0.004769892897456884,0.003984731622040272,1
Speaker A,"Okay, cool.","{'anger': 0.09045030921697617, 'disgust': 0.16102643311023712, 'fear': 0.005551640875637531, 'joy': 0.2517884373664856, 'neutral': 0.474163293838501, 'sadness': 0.013061171397566795, 'surprise': 0.003958796616643667}",0.09045030921697617,0.16102643311023712,0.005551640875637531,0.2517884373664856,0.474163293838501,0.013061171397566795,0.003958796616643667,5
